timestamp_ms,timestamp,air_humidity,sensor_alive
1778313936099,2026-05-09 11:05:36,68.35,1
1778313937108,2026-05-09 11:05:37,67.67,1
1778313938111,2026-05-09 11:05:38,67.65,1
1778313939116,2026-05-09 11:05:39,68.01,1
1778313940122,2026-05-09 11:05:40,68.19,1
1778313941125,2026-05-09 11:05:41,68.33,1
1778313942131,2026-05-09 11:05:42,68.13,1
1778313943137,2026-05-09 11:05:43,67.94,1
1778313944147,2026-05-09 11:05:44,67.97,1
1778313945150,2026-05-09 11:05:45,68.26,1
1778313946158,2026-05-09 11:05:46,68.0,1
1778313947165,2026-05-09 11:05:47,67.21,1
1778313948168,2026-05-09 11:05:48,67.74,1
1778313949174,2026-05-09 11:05:49,67.52,1
1778313950176,2026-05-09 11:05:50,67.45,1
1778313951182,2026-05-09 11:05:51,67.47,1
1778313952189,2026-05-09 11:05:52,67.77,1
1778313953194,2026-05-09 11:05:53,67.73,1
1778313954200,2026-05-09 11:05:54,67.14,1
1778313955205,2026-05-09 11:05:55,66.92,1
1778313956211,2026-05-09 11:05:56,67.05,1
1778313957218,2026-05-09 11:05:57,67.5,1
1778313958223,2026-05-09 11:05:58,66.78,1
1778313959229,2026-05-09 11:05:59,66.69,1
1778313960236,2026-05-09 11:06:00,66.48,1
1778313961239,2026-05-09 11:06:01,66.34,1
1778313962248,2026-05-09 11:06:02,66.97,1
1778313963252,2026-05-09 11:06:03,66.46,1
1778313964255,2026-05-09 11:06:04,66.55,1
1778313965259,2026-05-09 11:06:05,66.79,1
1778313966265,2026-05-09 11:06:06,66.0,1
1778313967272,2026-05-09 11:06:07,66.16,1
1778313968310,2026-05-09 11:06:08,65.63,1
1778313969329,2026-05-09 11:06:09,65.55,1
1778313970332,2026-05-09 11:06:10,65.47,1
1778313971335,2026-05-09 11:06:11,66.01,1
1778313972339,2026-05-09 11:06:12,65.45,1
1778313973343,2026-05-09 11:06:13,65.55,1
1778313974349,2026-05-09 11:06:14,64.88,1
1778313975353,2026-05-09 11:06:15,65.42,1
1778313976357,2026-05-09 11:06:16,65.15,1
1778313977361,2026-05-09 11:06:17,64.59,1
1778313978365,2026-05-09 11:06:18,65.21,1
1778313979369,2026-05-09 11:06:19,64.64,1
1778313980375,2026-05-09 11:06:20,64.43,1
1778313981385,2026-05-09 11:06:21,64.38,1
1778313982455,2026-05-09 11:06:22,64.63,1
1778313983461,2026-05-09 11:06:23,64.62,1
1778313984466,2026-05-09 11:06:24,64.28,1
1778313985471,2026-05-09 11:06:25,64.0,1
1778313986476,2026-05-09 11:06:26,63.94,1
1778313987483,2026-05-09 11:06:27,63.72,1
1778313988487,2026-05-09 11:06:28,63.64,1
1778313989492,2026-05-09 11:06:29,63.65,1
1778313990498,2026-05-09 11:06:30,62.8,1
1778313991502,2026-05-09 11:06:31,62.91,1
1778313992509,2026-05-09 11:06:32,62.51,1
1778313993514,2026-05-09 11:06:33,62.39,1
1778313994517,2026-05-09 11:06:34,62.4,1
1778313995522,2026-05-09 11:06:35,61.93,1
1778313996528,2026-05-09 11:06:36,62.49,1
1778313997531,2026-05-09 11:06:37,62.05,1
