timestamp_ms,timestamp,soil_moisture,sensor_alive
1778499672676,2026-05-11 14:41:12,40.22,1
1778499673679,2026-05-11 14:41:13,40.21,1
1778499674681,2026-05-11 14:41:14,40.19,1
1778499675684,2026-05-11 14:41:15,40.15,1
1778499676687,2026-05-11 14:41:16,40.14,1
1778499677689,2026-05-11 14:41:17,40.09,1
1778499678694,2026-05-11 14:41:18,40.03,1
1778499679696,2026-05-11 14:41:19,40.0,1
1778499680700,2026-05-11 14:41:20,39.93,1
1778499681705,2026-05-11 14:41:21,39.92,1
1778499682710,2026-05-11 14:41:22,40.08,1
1778499683717,2026-05-11 14:41:23,40.24,1
1778499684723,2026-05-11 14:41:24,40.47,1
1778499685726,2026-05-11 14:41:25,40.68,1
1778499686731,2026-05-11 14:41:26,40.83,1
1778499687734,2026-05-11 14:41:27,41.05,1
1778499688737,2026-05-11 14:41:28,41.2,1
1778499689741,2026-05-11 14:41:29,41.41,1
1778499690745,2026-05-11 14:41:30,41.59,1
1778499691750,2026-05-11 14:41:31,41.76,1
1778499692756,2026-05-11 14:41:32,41.95,1
1778499693762,2026-05-11 14:41:33,42.05,1
1778499694765,2026-05-11 14:41:34,42.24,1
1778499695767,2026-05-11 14:41:35,42.39,1
1778499696769,2026-05-11 14:41:36,42.53,1
1778499697773,2026-05-11 14:41:37,42.78,1
1778499698776,2026-05-11 14:41:38,43.02,1
1778499699778,2026-05-11 14:41:39,43.2,1
1778499700780,2026-05-11 14:41:40,43.4,1
1778499701782,2026-05-11 14:41:41,43.61,1
1778499702784,2026-05-11 14:41:42,43.84,1
1778499703787,2026-05-11 14:41:43,44.11,1
1778499704793,2026-05-11 14:41:44,44.22,1
1778499705796,2026-05-11 14:41:45,44.44,1
1778499706801,2026-05-11 14:41:46,44.66,1
1778499707806,2026-05-11 14:41:47,44.9,1
1778499708812,2026-05-11 14:41:48,45.16,1
1778499709816,2026-05-11 14:41:49,45.12,1
1778499710819,2026-05-11 14:41:50,45.07,1
1778499711823,2026-05-11 14:41:51,45.03,1
1778499712828,2026-05-11 14:41:52,44.97,1
1778499713834,2026-05-11 14:41:53,44.94,1
1778499714839,2026-05-11 14:41:54,44.91,1
1778499715845,2026-05-11 14:41:55,44.89,1
1778499716850,2026-05-11 14:41:56,44.85,1
1778499717855,2026-05-11 14:41:57,44.81,1
1778499718859,2026-05-11 14:41:58,44.76,1
1778499719864,2026-05-11 14:41:59,44.73,1
1778499720870,2026-05-11 14:42:00,44.66,1
1778499721875,2026-05-11 14:42:01,44.62,1
1778499722879,2026-05-11 14:42:02,44.57,1
1778499723885,2026-05-11 14:42:03,44.51,1
1778499724890,2026-05-11 14:42:04,44.5,1
1778499725895,2026-05-11 14:42:05,44.5,1
1778499726900,2026-05-11 14:42:06,44.51,1
1778499727904,2026-05-11 14:42:07,44.51,1
1778499728910,2026-05-11 14:42:08,44.49,1
1778499729915,2026-05-11 14:42:09,44.45,1
1778499730916,2026-05-11 14:42:10,44.4,1
1778499731921,2026-05-11 14:42:11,44.4,1
1778499732926,2026-05-11 14:42:12,44.34,1
1778499733929,2026-05-11 14:42:13,44.33,1
1778499734932,2026-05-11 14:42:14,44.26,1
1778499735935,2026-05-11 14:42:15,44.23,1
1778499736940,2026-05-11 14:42:16,44.22,1
1778499737942,2026-05-11 14:42:17,44.15,1
1778499738948,2026-05-11 14:42:18,44.15,1
1778499739953,2026-05-11 14:42:19,44.12,1
1778499740958,2026-05-11 14:42:20,44.13,1
1778499741963,2026-05-11 14:42:21,44.05,1
1778499742968,2026-05-11 14:42:22,44.0,1
1778499743973,2026-05-11 14:42:23,43.96,1
1778499744978,2026-05-11 14:42:24,43.96,1
1778499745984,2026-05-11 14:42:25,43.9,1
1778499746989,2026-05-11 14:42:26,43.87,1
1778499747993,2026-05-11 14:42:27,43.8,1
1778499749000,2026-05-11 14:42:29,43.74,1
1778499750005,2026-05-11 14:42:30,43.74,1
1778499751010,2026-05-11 14:42:31,43.73,1
1778499752015,2026-05-11 14:42:32,43.66,1
1778499753020,2026-05-11 14:42:33,43.61,1
1778499754027,2026-05-11 14:42:34,43.6,1
1778499755032,2026-05-11 14:42:35,43.59,1
1778499756037,2026-05-11 14:42:36,43.56,1
1778499757042,2026-05-11 14:42:37,43.54,1
1778499758047,2026-05-11 14:42:38,43.47,1
1778499759053,2026-05-11 14:42:39,43.41,1
1778499760058,2026-05-11 14:42:40,43.34,1
1778499761063,2026-05-11 14:42:41,43.34,1
1778499762068,2026-05-11 14:42:42,43.28,1
1778499763074,2026-05-11 14:42:43,43.28,1
1778499764080,2026-05-11 14:42:44,43.24,1
1778499765083,2026-05-11 14:42:45,43.23,1
1778499766088,2026-05-11 14:42:46,43.16,1
1778499767092,2026-05-11 14:42:47,43.16,1
1778499768095,2026-05-11 14:42:48,43.15,1
1778499769098,2026-05-11 14:42:49,43.11,1
1778499770102,2026-05-11 14:42:50,43.09,1
1778499771106,2026-05-11 14:42:51,43.06,1
1778499772111,2026-05-11 14:42:52,43.05,1
1778499773116,2026-05-11 14:42:53,43.02,1
1778499774122,2026-05-11 14:42:54,42.97,1
1778499775127,2026-05-11 14:42:55,42.91,1
1778499776131,2026-05-11 14:42:56,42.9,1
1778499777137,2026-05-11 14:42:57,42.87,1
1778499778141,2026-05-11 14:42:58,42.84,1
1778499779147,2026-05-11 14:42:59,42.82,1
1778499780152,2026-05-11 14:43:00,42.76,1
1778499781154,2026-05-11 14:43:01,42.69,1
1778499782159,2026-05-11 14:43:02,42.62,1
1778499783165,2026-05-11 14:43:03,42.61,1
1778499784171,2026-05-11 14:43:04,42.55,1
1778499785176,2026-05-11 14:43:05,42.51,1
1778499786180,2026-05-11 14:43:06,42.44,1
1778499787186,2026-05-11 14:43:07,42.43,1
1778499788190,2026-05-11 14:43:08,42.41,1
1778499789196,2026-05-11 14:43:09,42.36,1
1778499790201,2026-05-11 14:43:10,42.32,1
1778499791205,2026-05-11 14:43:11,42.29,1
1778499792210,2026-05-11 14:43:12,42.22,1
1778499793215,2026-05-11 14:43:13,42.18,1
1778499794221,2026-05-11 14:43:14,42.13,1
1778499795224,2026-05-11 14:43:15,42.08,1
1778499796230,2026-05-11 14:43:16,42.06,1
1778499797234,2026-05-11 14:43:17,42.04,1
1778499798236,2026-05-11 14:43:18,41.98,1
1778499799242,2026-05-11 14:43:19,41.91,1
1778499800245,2026-05-11 14:43:20,41.88,1
1778499801250,2026-05-11 14:43:21,41.83,1
1778499802252,2026-05-11 14:43:22,41.78,1
1778499803257,2026-05-11 14:43:23,41.73,1
1778499804263,2026-05-11 14:43:24,41.68,1
1778499805268,2026-05-11 14:43:25,41.61,1
1778499806273,2026-05-11 14:43:26,41.53,1
1778499807278,2026-05-11 14:43:27,41.44,1
1778499808282,2026-05-11 14:43:28,41.4,1
1778499809288,2026-05-11 14:43:29,41.32,1
1778499810293,2026-05-11 14:43:30,41.25,1
1778499811299,2026-05-11 14:43:31,41.16,1
1778499812304,2026-05-11 14:43:32,41.08,1
1778499813310,2026-05-11 14:43:33,40.98,1
1778499814316,2026-05-11 14:43:34,40.9,1
1778499815319,2026-05-11 14:43:35,40.8,1
1778499816322,2026-05-11 14:43:36,40.74,1
1778499817325,2026-05-11 14:43:37,40.62,1
1778499818327,2026-05-11 14:43:38,40.57,1
1778499819331,2026-05-11 14:43:39,40.52,1
1778499820334,2026-05-11 14:43:40,40.41,1
1778499821336,2026-05-11 14:43:41,40.34,1
1778499822338,2026-05-11 14:43:42,40.28,1
1778499823341,2026-05-11 14:43:43,40.17,1
1778499824344,2026-05-11 14:43:44,40.05,1
1778499825346,2026-05-11 14:43:45,39.95,1
1778499826348,2026-05-11 14:43:46,39.87,1
1778499827350,2026-05-11 14:43:47,39.94,1
1778499828352,2026-05-11 14:43:48,40.04,1
1778499829355,2026-05-11 14:43:49,40.2,1
1778499830357,2026-05-11 14:43:50,40.37,1
1778499831359,2026-05-11 14:43:51,40.45,1
1778499832362,2026-05-11 14:43:52,40.55,1
1778499833365,2026-05-11 14:43:53,40.72,1
