timestamp_ms,timestamp,temperature,sensor_alive
1778499673157,2026-05-11 14:41:13,20.59,1
1778499674161,2026-05-11 14:41:14,20.15,1
1778499675163,2026-05-11 14:41:15,20.19,1
1778499676165,2026-05-11 14:41:16,20.08,1
1778499677169,2026-05-11 14:41:17,20.09,1
1778499678171,2026-05-11 14:41:18,20.38,1
1778499679174,2026-05-11 14:41:19,20.34,1
1778499680175,2026-05-11 14:41:20,20.26,1
1778499681177,2026-05-11 14:41:21,20.37,1
1778499682180,2026-05-11 14:41:22,19.99,1
1778499683183,2026-05-11 14:41:23,20.04,1
1778499684189,2026-05-11 14:41:24,20.12,1
1778499685192,2026-05-11 14:41:25,20.28,1
1778499686194,2026-05-11 14:41:26,20.21,1
1778499687196,2026-05-11 14:41:27,19.98,1
1778499688198,2026-05-11 14:41:28,20.24,1
1778499689200,2026-05-11 14:41:29,20.11,1
1778499690203,2026-05-11 14:41:30,20.16,1
1778499691206,2026-05-11 14:41:31,20.06,1
1778499692210,2026-05-11 14:41:32,19.78,1
1778499693211,2026-05-11 14:41:33,19.95,1
1778499694214,2026-05-11 14:41:34,19.85,1
1778499695215,2026-05-11 14:41:35,20.22,1
1778499696217,2026-05-11 14:41:36,19.91,1
1778499697218,2026-05-11 14:41:37,19.9,1
1778499698223,2026-05-11 14:41:38,19.94,1
1778499699225,2026-05-11 14:41:39,20.11,1
1778499700230,2026-05-11 14:41:40,19.9,1
1778499701231,2026-05-11 14:41:41,20.23,1
1778499702233,2026-05-11 14:41:42,19.97,1
1778499703239,2026-05-11 14:41:43,20.14,1
1778499704241,2026-05-11 14:41:44,19.88,1
1778499705242,2026-05-11 14:41:45,19.94,1
1778499706244,2026-05-11 14:41:46,20.33,1
1778499707246,2026-05-11 14:41:47,20.28,1
1778499708248,2026-05-11 14:41:48,20.42,1
1778499709250,2026-05-11 14:41:49,19.98,1
1778499710251,2026-05-11 14:41:50,20.44,1
1778499711253,2026-05-11 14:41:51,20.2,1
1778499712255,2026-05-11 14:41:52,20.36,1
1778499713257,2026-05-11 14:41:53,20.56,1
1778499714260,2026-05-11 14:41:54,20.33,1
1778499715261,2026-05-11 14:41:55,20.24,1
1778499716263,2026-05-11 14:41:56,20.22,1
1778499717264,2026-05-11 14:41:57,20.27,1
